title,company,location,site,description,job_url
AI Centre of Excellence Platform Owner,Bank of Ireland,"Dublin, County Dublin, Ireland",linkedin,"**What is the opportunity?** The AI Centre of Excellence (CoE) is the Bank's engine for safe, responsible and scalable AI adoption. It defines the strategy, standards and governance that guide how AI is built and used, while providing the shared platforms, tools and expertise that power delivery across the organisation. Your mission is to shape the vision, build out and day to day excellence of the BOI AI Platform turning it into a powerful, shared, self service capability that accelerates AI across the entire enterprise. You'll define robust platform services and reusable AI patterns that form the backbone of every AI initiative. You lead platform engineering with clarity and authority, ensuring the platform is resilient, compliant, cost efficient and primed for innovation. As the technical north star, you translate AI CoE strategy into real world delivery, working closely with the Cloud CoE to provide CSSP aligned infrastructure that scales with ambition. In essence, you're the driving force that transforms AI strategy into a reliable, repeatable and future ready enterprise capability! **In This Role, You Will** * Lead the strategic roadmap, design, and evolution of the BOI AI Platform as a shared enterprise service. * Define and govern reusable AI archetypes, platform patterns, and shared services to enable safe, consistent, and accelerated AI delivery. * Own the platform engineering team, setting technical direction and ensuring high quality engineering execution in partnership with the Cloud CoE. * Ensure platform compliance with security, regulatory, and architecture standards, while driving adoption across pathfinder pods and business units. * Lead AI and cloud FinOps, including cost optimisation, capacity planning, and budget governance, alongside platform SLAs, availability, monitoring, and incident response. * Oversee evaluation and onboarding of AI tooling, models, and third party components, maintaining strong documentation, knowledge transfer, and responsible AI practices. **What will make you stand out?** * Deep expertise in cloud based AI/ML platform engineering, with experience delivering enterprise scale platforms in regulated environments. * Strong grounding in cloud architecture, governance, information security, data governance and financial?'services regulatory requirements. * Validated product ownership and partner management, with a track record of shaping platform roadmaps and driving adoption. * Broad knowledge of AI/ML model lifecycle management, data engineering patterns and integration of AI systems into enterprise ecosystems. * Skilled engineering leader with strong mentorship abilities and experience building high performing technical teams. * Commercial competence in running cloud costs and platform budgets, paired with excellent communication skills for translating sophisticated concepts to diverse audiences. Experience working in regulated financial services or other complex enterprise environments is highly desirable. **Essential Qualifications** There are no specific qualifications or minimum educational requirements needed for this role. **More About The Team** Working hand in hand with business teams, the CoE identifies, prioritises and accelerates high value AI use cases that deliver measurable impact. It strikes the balance between innovation and regulatory field, ensuring every AI solution meets the Bank's highest expectations for ethics, risk management and control and ultimately turns AI into a trusted, enterprise wide capability. This is a hybrid role, based primarily in Dublin. We typically ask colleagues to spend a minimum of 8 days per month working in\-person to support teamwork and connection. Specific arrangements will be confirmed by your recruiter to ensure they meet the needs of the role and team. \#ij\-hybrid **Why work with us?** The Bank of Ireland company culture prioritises work\-life balance with an opportunity for flexible working, along with 25 days annual leave and excellent pension contributions. Family can mean different things to different people; we offer 6 months paid maternity leave, an innovative fertility and surrogacy policy and working parent supports. Your wellbeing is important to us; we have an employee assistance program, WebDoctor and financial wellbeing coaches available. We also encourage and support staff to pursue educational and professional qualifications to grow and enhance your career! **Key Competencies** * Manage Risk \- Leader * Take Ownership \- Leader * Better together \- Leader * Customer Focused \- Leader * Be Decisive \- Leader We're on a continuous journey to build an inclusive and diverse workplace. We welcome applications from people of all backgrounds, lived experience, abilities and perspectives. We provide reasonable accommodations at every stage of our recruitment process for disabilities, neurodivergence or medical conditions. If you require an accommodation please complete this form and one of our recruitment team members will be in touch via email. Any information provided will be treated as confidential within the recruitment team and used only for the purpose of determining and providing appropriate accommodations for the application and recruitment process.",https://www.linkedin.com/jobs/view/4410049127
"ASIC Digital Design, Architect",Synopsys Inc,"Dublin, County Dublin, Ireland",linkedin,"We Are: At Synopsys, we drive the innovations that shape the way we live and connect. Our technology is central to the Era of Pervasive Intelligence, from self\-driving cars to learning machines. We lead in chip design, verification, and IP integration, empowering the creation of high\-performance silicon chips and software content. Join us to transform the future through continuous technological innovation. You Are: An experienced and passionate ASIC Digital Design Engineer who thrives in dynamic and collaborative environments. You have a proven track record in RTL design and verification, and you are excited about contributing to cutting\-edge technology. With your extensive expertise, you are capable of handling complex and unique issues, often requiring innovative solutions. You are adept at communicating with both internal and external stakeholders, ensuring that your designs meet the highest standards of quality and performance. What You’ll Be Doing: * Leading the design and verification of complex ASIC blocks and systems, ensuring they meet all specifications and performance goals. * Collaborating closely with cross\-functional teams, including analog design, physical design, and applications engineering, to ensure seamless integration of all design components. * Developing and executing comprehensive test plans to verify the functionality and performance of your designs. * Utilizing advanced EDA tools and methodologies to optimize design performance and power efficiency. * Mentoring junior engineers, providing guidance and support to help them grow their skills and contribute effectively to the team. * Stayingup\-to\-datewith the latest industry trends and technologies, continuously improving your skills and knowledge. The Impact You Will Have: * Driving innovation in ASIC design, contributing to the development of cutting\-edge technology that shapes the future. * Ensuring the delivery of high\-performance, reliable, and power\-efficient ASICs that meet customer requirements and industry standards. * Enhancing the overall quality and performance of Synopsys' products through meticulous design and verification processes. * Collaborating with cross\-functional teams to solve complex design challenges, ensuring seamless integration and functionality. * Mentoring and guiding junior engineers, fostering a culture of continuous learning and improvement within the team. * Contributing to Synopsys' reputation as a leader in the semiconductor industry through your expertise and innovative solutions. What You’ll Need: * Extensive experience in ASIC digital design and verification, with a strong background in RTL design. * Proficiency in using industry\-standard EDA tools and methodologies for design and verification. * Deep understanding of High\-Performance Interface IP protocols and their implementation in ASIC designs. * Strong analytical and problem\-solving skills, with the ability to tackle complex and unique design challenges. * Excellent communication skills, with the ability to effectively collaborate with cross\-functional teams and stakeholders. Who You Are: * A proactive and self\-motivated individual who takes initiative and acts independently with minimal oversight. * A strategic thinker with the ability to implement goals that have a direct impact on department results. * A detail\-oriented engineer who works meticulously to ensure the highest standards of quality and performance. * A collaborative team player who thrives in dynamic and fast\-paced environments. * A lifelong learner who stays up\-to\-date with the latest industry trends and continuously seeks to improve their skills and knowledge. The Team You’ll Be A Part Of: You will be part of a highly skilled and dynamic ASIC Digital Design team focused on delivering high\-performance and reliable ASIC solutions. Our team collaborates closely with various departments, including analog design, physical design, and applications engineering, to ensure the seamless integration of all design components. We are committed to continuous learning and improvement, fostering a culture of innovation and excellence. Rewards and Benefits: We offer a comprehensive range of health, wellness, and financial benefits to cater to your needs. Our total rewards include both monetary and non\-monetary offerings. Your recruiter will provide more details about the salary range and benefits during the hiring process.",https://www.linkedin.com/jobs/view/4370164553
Account Executive - Personal Lines - Arachas Location,Arachas Corporate Brokers Ltd,"Dublin, County Dublin, Ireland",linkedin,"**Role Accountabilities Responsibilities** **Sales \& Activity Management:** * Flexibility to work across all Personal Lines departments securing renewals, processing amendments, cross selling and up selling across all product lines. * Good negotiation and sales skills * Manage renewals, client retention in line with targets and compliance * Ensuring all aspects of Mid\-Term Alterations, Renewals, Accounts entry, claims liaison, correspondence are completed * Ensuring all files are up to date on Relay **Customer Relationship Management:** * Manage clients across depts. handling renewals, MTA’s and queries in relation to Personal Lines products * Take personal responsibility for delivering the highest level of accuracy and quality in your work * Deal with all requests internal / external in a timely and efficient manner * Team Collaboration: * Build great relationships across all teams within Arachas working collaboratively to deliver on team targets and objectives Compliance: * Ensuring all compliance standards are met during all processes **Requirements:** * APA Required * CIP preferred * Experience working in a fast\-paced environment * Knowledge of Relay an advantage * Excellent organisational skills, ability to prioritise, manage, multi task and execute daily tasks * Excellent communication and interpersonal skills with the ability to deal with internal and external customers * Excellent attention to detail * Ability to solve problems * Ability to work in a dynamic team environment * Be open to change and fast pace environment * Perform ad\-hoc duties as required **Person Specification:** * Possess a can\-do attitude and be open to rapid and evolving changes as our digital journey progresses. * The ability to prioritize workloads and adapt to unforeseen events * A good degree of personal organization and a structured approach to time and resource management * Commitment to their own professional development * Working always with the customer first approach in line with Arachas Culture \#ACB",https://www.linkedin.com/jobs/view/4273058838
Account Executive 3 - DACH,Wrike,"Dublin, County Dublin, Ireland",linkedin,"Wrike is the most powerful work management platform. Built for teams and organizations looking to collaborate, create, and exceed every day, Wrike brings everyone and all work into a single place to remove complexity, increase productivity, and free people up to focus on their most purposeful work. **Our vision:** A world where everyone is free to focus on their most purposeful work, together. As an Account Executive 3 at Wrike, you will play a critical role in landing key enterprise accounts. You’ll own the full sales cycle with new logos, engaging at C\-suite/executive level, partnering with cross\-functional teams, and demonstrating Wrike’s impact on enterprise transformation and ROI. You’ll thrive in a fast\-paced, high\-growth environment where your consultative approach and tenacity will directly unlock new business and deepen Wrike’s brand as a leader in the market. If you’re a collaborative professional who thrives in a fast\-paced environment and enjoys connecting technology solutions to real business challenges, we want to hear from you! Your Impact: * Develop, manage, and close complex sales cycles; prospecting, leading discovery, presenting business cases, negotiating contracts, and landing new logos at the enterprise level (5,000\+ employees). * Deliver compelling presentations and business cases to executive audiences, demonstrating strategic thinking, business acumen, and exceptional consultative communication skills. * Provide highly accurate and insight\-driven monthly, quarterly, and annual pipeline forecasts, and maintain meticulous CRM (Salesforce) hygiene. * Serve as an expert consultant on digital and operational transformation; drive opportunities to upsell, cross\-sell, and expand engagement within enterprise accounts. * Proactively lead and coordinate cross\-functional account teams—including Marketing, Sales Development, Solution Consultants, Legal, Security, and Implementation—to deliver a world\-class enterprise client experience. * Skillfully navigate complex legal, procurement, compliance, and security processes in collaboration with internal teams and enterprise client stakeholders. * Stay at the forefront of SaaS trends and industry best practices to be a valued advisor to your clients and the broader Wrike team. * Guide enterprise buyers through organizational change management and adoption planning, ensuring alignment, education, and readiness across large buying groups. * Ensure a seamless and comprehensive handoff to Customer Success and Implementation teams, clearly documenting goals, expectations, and key learnings for ongoing client engagement. * Regularly capture and communicate enterprise customer insights, competitive intelligence, and market feedback to Product, Sales, and Marketing leadership for continuous improvement. * Mentor and support development of junior account executives, sharing best practices and contributing to team enablement initiatives. Your Qualifications: * Language skills (as required) * 5\+ years of successful full\-cycle SaaS sales experience, including enterprise\-level new business acquisition (large deal sizes, multiple stakeholders) * Demonstrated success executing complex deals with Fortune 1000/Global 5000 organizations and C\-suite stakeholders * Skilled in delivering consultative, solution\-based sales cycles using methodologies like MEDDIC, Challenger, or Question\-Based Selling * Outstanding executive presence, business acumen, and ability to translate technical value into compelling ROI/value stories tailored to customer needs * Proven ability to manage multiple sales processes and large pipelines, with consistent attainment or overachievement of quotas * Strong written, verbal, and presentation skills; comfortable leading high\-stakes executive meetings and product demos * Experience managing legal, procurement, and information security processes for large enterprise agreements * Proficiency with Salesforce and the modern SaaS sales tech stack Standout Qualities: * Experience in work management, project management, or a track record of selling to our ideal customer profiles (ICPs) in Marketing, Professional Services, Manufacturing or Engineering * Fluent in German and English (verbal \& Written) Team Dynamics: You’ll join Wrike’s high\-performing New Business team, where your primary focus will be acquiring new enterprise customers and driving revenue growth. As a key member of our enterprise sales organization, you’ll play a critical role in expanding Wrike’s presence by landing new logos, shaping our go\-to\-market strategy, and fueling our continued growth in the enterprise segment. Our Work Style: * Collaborative Culture: Work alongside ambitious, supportive colleagues who celebrate wins together * Comprehensive Training: Structured onboarding and ongoing sales enablement to help you master our product and refine your skills * Work Flexibility: Options for remote work with the support you need to succeed from your home or the office * Competitive Compensation: Base salary plus uncapped commission structure that rewards performance Growth Opportunities: Clear career progression paths with opportunities to advance into senior account management or leadership roles, based on your performance and goals **Why Join Wrike?** * 25 calendar days of paid vacation * Parental Leave: 26 Weeks Maternity / 4 Week Paternity * 2 Volunteer Days * Bike\-to\-Work Scheme * Health Insurance (Employees \+ Dependents) * Life Insurance * Income Protection * Pension Scheme Your recruitment buddy will be Aziza Talhi, Senior Recruiter. **Who Is Wrike And Our Culture** We’re a team of innovators and creators who solve the complex work problems of today and tomorrow. **Hybrid work mode** Wrike promotes a hybrid model for team members near our office hubs in San Diego, Prague, Dublin, Nicosia, and Tallinn, with 2–3 in\-office days per week to foster collaboration and teamwork. This work mode supports our culture of collaboration and solving problems fast to deliver business outcomes and win together. **Our persona** **💡 Smart:** We love what we do, and we’re great at it because this is our domain. Our combined knowledge in this space is unmatched. **💚 Dedicated:** We get up every day focused on helping our customers win. We’re committed to helping our teammates win, too! **🤗 Approachable:** We're friendly, easy to get along with, considerate, and helpful. **Our culture and Values** **🤩 Customer\-Focused** **We care about our customers.** We understand the customer journey, experience, and value derived from Wrike. Decision\-making and action\-taking are done with the customer in mind. **🤝 Collaborative** **We work as one and win together,** each bringing unique strengths that contribute to diversity of thought for better outcomes. Leveraging our own work management platform, we foster an environment of creative collaboration and shared achievement. **🎨 Creative** **We strive to succeed through continuous innovation.** It’s our pursuit of novel concepts that helped us create a market category. We continue to cultivate a workplace that fosters creative thinking as a means of transcending conventional boundaries and empowers us to break new ground to deliver extraordinary work management solutions. **💪 Committed** **We believe in ownership at all levels of the organization,** by owning workflows from start to finish. Each member of our team is an integral part of this commitment, establishing work as a platform for personal growth and transformation, as well as collective success and growth. Check out our LinkedIn Life Page, Company culture page, Instagram, Wrike Engineering Team, Medium, Meetup.com, Youtube for a feel for what life is like at Wrike.",https://www.linkedin.com/jobs/view/4410050045
"Account Executive, Global Payroll - EMEA",Rippling,"Dublin, County Dublin, Ireland",linkedin,"**About Rippling** Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even third\-party apps like Slack and Microsoft 365—all within 90 seconds. Based in San Francisco, CA, Rippling has raised $1\.4B\+ from the world’s top investors—including Kleiner Perkins, Founders Fund, Sequoia, Greenoaks, and Bedrock—and was named one of America's best startup employers by Forbes. We prioritize candidate safety. Please be aware that all official communication will only be sent from @Rippling.com addresses. **About The Role** The Global Account Executive role at Rippling provides an extremely unique opportunity \-\- we’re looking for talented and ambitious Account Executives who can both manage a high velocity sales cycle while being an advisor to Rippling’s customers. Your role goes beyond sales by helping customers navigate strategic decisions related to product configurations, compliance, and workflow improvements. This role will require being based in ****Dublin, Ireland**** . **What You Will Do** * Drive revenue growth by prospecting untapped market segments, utilizing expert cold\-calling tactics and networking to penetrate key accounts and build a high\-velocity pipeline from scratch. * Run sales cycles from discovery and demo to close * Close business and achieve quota attainment consistently * Manage pipeline in Salesforce to accurately forecast revenue * Become a product expert across our entire platform and understand our competitor landscape * Work closely with Account Management team to ensure a smooth transition for new customers * Prior experience in Global Payroll or EOR (Employer of Record) services is highly preferred, though not mandatory for candidates with a stellar SaaS sales track record **What You Will Need** * 3\+ years sales experience, particularly in SaaS markets selling B2B * Experience of success (top 10% of sales org) * Experience selling software products to HR personal * Ability to thrive in a fast paced environment * Excellent communication required **Additional Information** Rippling is an equal opportunity employer. We are committed to building a diverse and inclusive workforce and do not discriminate based on race, religion, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, age, sexual orientation, veteran or military status, or any other legally protected characteristics, Rippling is committed to providing reasonable accommodations for candidates with disabilities who need assistance during the hiring process. To request a reasonable accommodation, please email accommodations@rippling.com Rippling highly values having employees working in\-office to foster a collaborative work environment and company culture. For office\-based employees, Rippling considers working in the office, at least three days a week under current policy, to be an essential function of the employee's role. * Commission is not guaranteed This role will require being based in ****Dublin, Ireland**** .",https://www.linkedin.com/jobs/view/4369986502
Apple Sales Team Member - Full-time,Select Tech Group,"Dublin, D, IE",indeed,"**SELECT** **Liffey Valley** **Full\-time role** **€14\.15 per hour pluc performance related commissiom** **Select** (part of the Select Technology Group) is the leading **Apple Premium Reseller** in the UK and Ireland with 21 stores across Ireland and the UK. We are looking for a dynamic **full\-time** salesperson in our Liffey Valley store. Showcasing the full Apple product line in a customer friendly environment, Select is renowned for providing outstanding customer service. Whether you are a consumer or professional customer, you will enjoy friendly, knowledgeable advice and support at a store conveniently located near you. The training you will receive will give you the enviable position of being the first to hear about new Apple products and initiatives. You will be there to provide the excitement about the products which will naturally drive you to share your knowledge with your team members and customers alike. You will be joining a Team which is extremely driven to not only meet but exceed all sales and service performance goals, all whilst demonstrating your personal ethos of 'no limits'. Above all else you are there to ensure that every customer receives the best experience of shopping with Select from the minute they walk into your store. Your role will be diverse and not just restricted to customer interaction. As an ambitious individual you will welcome opportunities to gain knowledge regarding visual merchandising, product and service knowledge, as well as opportunities to earn and improve sales techniques. With opportunities to further your career, your success will not only be measured by individual productivity and overall store performance, but also by your attitude and attention to detail. What do you get from working at **Select**? * A growing love and passion for all things Apple * A great sense of achievement and empowerment for helping our customers discover which Mac, iPhone, Watch or iPad is right for them this is our passion * Competitive salary with commission * Pension Scheme (subject to eligibility) * Fantastic Employee discounts * Employee Incentives * Employee Assistance Programme (EAP) **If this sounds like a place you would like to work, you are aged 18 or over, have the Right To Work in Ireland, and you can demonstrate your passion, knowledge and determination, then we would like to hear from you.** **Please note that we are hiring for a full time role.** **To apply for the role of Store Team Member, please submit your CV.** **IND1**",https://ie.indeed.com/viewjob?jk=81062f3c12189f60
Apple Sales Team Member - Full-time,Select Tech Group,"Dublin, County Dublin, Ireland",linkedin,"**SELECT** **Liffey Valley** **Full\-time role** **€14\.15 per hour pluc performance related commissiom** **Select** (part of the Select Technology Group) is the leading **Apple Premium Reseller** in the UK and Ireland with 21 stores across Ireland and the UK. We are looking for a dynamic **full\-time** salesperson in our Liffey Valley store. Showcasing the full Apple product line in a customer friendly environment, Select is renowned for providing outstanding customer service. Whether you are a consumer or professional customer, you will enjoy friendly, knowledgeable advice and support at a store conveniently located near you. The training you will receive will give you the enviable position of being the first to hear about new Apple products and initiatives. You will be there to provide the excitement about the products which will naturally drive you to share your knowledge with your team members and customers alike. You will be joining a Team which is extremely driven to not only meet but exceed all sales and service performance goals, all whilst demonstrating your personal ethos of 'no limits'. Above all else you are there to ensure that every customer receives the best experience of shopping with Select from the minute they walk into your store. Your role will be diverse and not just restricted to customer interaction. As an ambitious individual you will welcome opportunities to gain knowledge regarding visual merchandising, product and service knowledge, as well as opportunities to earn and improve sales techniques. With opportunities to further your career, your success will not only be measured by individual productivity and overall store performance, but also by your attitude and attention to detail. What do you get from working at **Select** ? * A growing love and passion for all things Apple * A great sense of achievement and empowerment for helping our customers discover which Mac, iPhone, Watch or iPad is right for them this is our passion * Competitive salary with commission * Pension Scheme (subject to eligibility) * Fantastic Employee discounts * Employee Incentives * Employee Assistance Programme (EAP) **If this sounds like a place you would like to work, you are aged 18 or over, have the Right To Work in Ireland, and you can demonstrate your passion, knowledge and determination, then we would like to hear from you.** **Please note that we are hiring for a full time role.** **To apply for the role of Store Team Member, please submit your CV.** **IND1**",https://www.linkedin.com/jobs/view/4408615918
Armis Security Specialist,HCLTech,"County Dublin, Ireland",linkedin,"Job Summary The Armis Security Specialist is responsible for maximizing the value of our Armis deployment and strengthening security across our laboratories and related operational technology (OT) and IoT devices. This role focuses on ongoing optimization of Armis\-based monitoring, analysis, detection, and response capabilities, and on implementing practical policies and procedures that reduce security risk without disrupting scientific workflows. The ideal candidate has hands\-on experience with Armis, understands network and endpoint fundamentals, lab instrumentation and scientific workflows, and is comfortable working closely with R\&D lab staff, IT, and security teams in a pharma environment. Key Responsibilities Armis Platform Operations · Serve as day\-to\-day Armis specialist for R\&D labs, supporting configuration, tuning, and ongoing operations. · Maintain and refine Armis policies, alerts, device classifications, and risk scores for lab\-specific use cases. · Integrate Armis with existing tools for data enrichment. · Support testing and rollout of new Armis features and use cases in the R\&D context. · Continuously refine device classification, risk scoring, and detection logic to reduce false positives and increase actionable insights. Lab Asset Visibility \& Risk Identification · Use Armis to maintain an up\-to\-date inventory of R\&D lab devices · Identify vulnerable, unsupported, or misconfigured devices and network segments, and document findings. · Support development of remediation and risk\-reduction plans with lab IT, instrument owners, and central cybersecurity. Policies, Procedures \& Controls · Develop, document, and maintain policies, standards, and procedures for: o Vulnerability and patch management approaches appropriate for lab equipment o Incident detection, triage, and response using Armis · Ensure that procedures align with internal security standards and relevant frameworks (e.g., ISO 27001, NIST, and GxP where applicable). Monitoring, Analysis \& Incident Support · Configure and manage Armis alerts and rules for anomalous behavior, policy violations, and suspected compromises. · Triage and investigate Armis alerts, correlating with other security tools and network logs. · Provide technical input to security incident response activities involving lab or OT devices (containment strategies, impact analysis, and recovery recommendations). · Produce reporting on lab asset inventory, risk posture, vulnerabilities, and incident trends, and present findings to stakeholders. Collaboration \& Training · Work closely with R\&D scientists, lab operations, and instrument owners to understand workflows and constraints, ensuring controls are practical and minimally disruptive. · Support awareness and training sessions for lab users and IT support teams on secure use of lab/OT/IoT devices and Armis\-related processes. Qualifications Required · Bachelor’s degree in Computer Science, Information Security, Engineering, or related field; or equivalent practical experience. · Hands\-on experience operating Armis or a similar OT/IoT/medical device security platform · 2–4\+ years of experience in cybersecurity, network/security operations, or OT/IoT security. · Solid understanding of network fundamentals (TCP/IP, VLANs, routing, switching, firewalls, NAC concepts), and asset discovery, risk scoring, and anomaly detection concepts · Experience creating or implementing security procedures, runbooks, or SOPs. · Strong communication skills and ability to work with both technical teams and non\-technical R\&D stakeholders. Preferred · Experience in pharmaceutical or biotech R\&D environments (discovery, preclinical, translational, or research support labs). · Familiarity with GxP and computerized system validation principles, and how they influence security controls for lab systems. · Exposure SIEM, vulnerability management, NAC, or CMDB tools. · Relevant certifications (e.g., Security\+, GSEC, GICSP, CISSP, or Armis training).",https://www.linkedin.com/jobs/view/4410016318
Backend Engineer (Java),Paysafe,"Dublin, County Dublin, Ireland",linkedin,"Paysafe is a global payments platform powering the experience economy, with a strong focus on the iGaming, video gaming, e\-commerce, retail, travel and hospitality sectors. With 30 years of expertise in payment technology, Paysafe helps businesses and consumers lift every experience through seamless, secure payment solutions, including card payments, digital wallets such as Skrill, eCash solutions like PaysafeCard, and a suite of local payment methods. With approximately 2,900 employees across 12 countries and annualized transactional volume of $167 billion in 2025, Paysafe connects people and businesses worldwide through innovative digital payment experiences. Further information is available at www.paysafe.com . **It starts here. Have a global impact on the world of payments.** Paysafe is currently seeking a Backend Java Developer to join its IT Development team to help us enhance our applications supporting the Payment Processing products and services. The ideal candidate will be a fast learner and enjoy working independently or within a team. They must also be confident in all aspects of software delivery on large and small projects including build/test automation. You'll be part of one Agile team (out of nearly 50\), consisting of several engineers; a team that has full ownership of their respective piece of code and functionality and is free to create its own rules that fit into a much bigger process. Our teams are working on some of our leading products, such as our Digital Wallets (Skrill \& NETELLER), our Embedded Wallet solution, our Payment Gateway (Netbanx), Paysafecard, as well as various Risk and Compliance functionalities across the board. **What Paysafe stands for:** * Being open and honest. * Keeping focused. * Operating with Courage. * Pioneering the future. Our values and culture are driven by Equality, Development, Social Responsibility and Wellbeing. If you want to find out more about life at Paysafe, check out our careers page here . **How we work:** We follow a hybrid working model, spending an average of **three days per week** at our office location. This role will be based in our Dublin hub. The Dublin office is located in George's Quay, in the heart of Dublin. **The impact you will have:** * Follow Agile Methodology: daily scrums, grooming, planning, retrospectives and project meetings as required * Liaise with Product Management, DevOps and other project teams as required to deliver high\-quality software solutions * Work with the Product Management team to help in the gathering and documentation of requirements * Ability to quickly ramp up and apply new technologies and processes * Participate in code reviews to ensure code quality and share best practices with the team * Enjoy working in a highly collaborative \& dynamic team environment * Share knowledge, teach, or learn from some of the very best engineers in the industry * Encouragement to enhance your skills, as we consider self\-improvement a crucial part of the job **Technical skills:** * Software development experience in Java/J2EE, Spring Ecosystem (Boot, MVC, Batch, Security, Cloud) * Basic knowledge in SQL (Oracle preferable) * Experience with REST, especially with RESTful Services (JAX\-RS), GraphQL, JSON/XML, OpenAPI/Swagger * Micro\-services and Event Driven architectures * Has worked with Git, Gitlab/Bamboo/Bitbucket plugins * Has worked with AWS (EC2, S3, Lambda, EKS), Azure, GCP fundamentals * Basic knowledge of UNIX/Linux **Qualifications:** * 3 to 5 years of software development experience * University degree in Computer Science, Programming, or equivalent education * Self\-learner and someone who is not afraid to embrace latest technologies * Experience working in a diverse and multi\-location company * Strong communication skills (oral, written and presentation) When applying, please include a link to your Github account or other open source contributions (if applicable). **A snippet of what you’ll get in return:** * Make your day work for you with our flexible working hours. * You decide what your holiday looks like with the option to buy or sell your holiday and carry over up to 5 days into the next year. * Enjoy social events on our roof top terrace with views onto St Pauls Cathedral. * Our fully equipped facilities include showers, hairdryers and straighteners and fresh towels. * Start your day with a free breakfast, fresh fruit and snacks. * Take a breather in our dedicated wellbeing room. * Spend time with those important to you with our enhanced paid family policies. * Test our products Skrill and Neteller. Upon joining we will award you £50 into each wallet. * Enjoy our discounts on memberships via vitality including, gyms, leisure centres, yoga/Pilates across the country. * Need a new Laptop or TV? We offer support purchasing Apple and LG products via Stormfront technology. * Join our six employee\-led equality communities and help foster a workplace that celebrates diversity and create opportunities to collaborate and learn. * Give back to the community with four paid charity days. * Kickstart your weekend early with our summer hours during the months of June, July and August with a 3pm finish every Friday. * Let’s not forget, we also offer: Private health insurance (pre\-existing conditions are included) \& dental insurance, income protection, life assurance and more. **What to expect next:** * Phone screen with Talent Acquisition. * At\-home HackerRank assessment. * Technical interview with member of the team. * Competency interview with the Hiring Manager. * Final HR conversation. **Equal Employment Opportunity** Paysafe is an equal opportunity employer. We value diversity and are committed to providing a work environment of mutual respect to everyone without regard to race, color, religion, national origin, age, gender identity or expression, or any other characteristic protected by applicable laws, regulations and ordinances.",https://www.linkedin.com/jobs/view/4359181592
Business Analyst,Hays,"Dublin, County Dublin, Ireland",linkedin,"**Your new company** One of Ireland's largest financial companies with over 200 locations nationwide, which provides a diverse range of services in banking, financial and related services, is currently seeking a Business Analyst to work within an office located in Dublin 18\. **Your new role** Senior and Junior Business Analysts to support the Transact Product Build and Flexcube core banking migration initiatives. The role involves business and data analysis, close collaboration with technology and business stakeholders, and delivery of high\-quality documentation to support core banking transformation. **Key Responsibilities** * Gather, analyse, and document business, functional, and data requirements * Support core banking product build and migration activities * Work closely with developers, architects, testers, and business stakeholders * Support data analysis, migration, and validation activities * Ensure clear, accurate, and consistent documentation throughout delivery * Participate in governance and stakeholder engagement forums **What you'll need to succeed** * Experience working on banking change initiatives or core banking programmes * Strong business analysis and documentation skills * Stakeholder engagement and communication skills * High attention to detail and disciplined documentation standards * Experience with lending, credit, or customer account\-based systems * Proven experience in core banking or lending platform migration **What you'll get in return** Excellent on the job and learning opportunities. You will be joining a diverse and inclusive company whose customers and employees are at the forefront of everything they do. You will receive a very competitive hourly rate with an annual holiday accrual. **What you need to do now** If you're interested in this role, click 'apply now' to forward an up\-to\-date copy of your CV, or call us now.If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career. Hays Ireland is a trading division of Hays Specialist Recruitment (Ireland) Limited and acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T\&C's, Privacy Policy and Disclaimers which can be found at hays.co.uk",https://www.linkedin.com/jobs/view/4408652505
